degree,Major,major_entities,degree_entities,relationships
Bachelor of Engineering,Biomedical Engineering,"[('Biomedical Engineering', 'Major')]","[('Bachelor of Engineering', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Biomedical Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Chemical Engineering,"[('Chemical Engineering', 'Major')]","[('Bachelor of Engineering', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Chemical Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Civil Engineering,"[('Civil Engineering', 'Major')]","[('Bachelor of Engineering', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Civil Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Electrical Engineering,"[('Electrical Engineering', 'Major')]","[('Bachelor of Engineering', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Electrical Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Engineering Science,"[('Engineering Science', 'Major')]","[('Bachelor of Engineering', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Engineering Science', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Environmental Engineering,"[('Environmental Engineering', 'Major')]","[('Bachelor of Engineering', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Environmental Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Industrial and Systems Engineering,"[('Industrial and Systems Engineering', 'Major')]","[('Bachelor of Engineering', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Industrial and Systems Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Infrastructure and Project Management,"[('Infrastructure and Project Management', 'Major')]","[('Bachelor of Engineering', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Infrastructure and Project Management', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Materials Science Engineering,"[('Materials Science Engineering', 'Major')]","[('Bachelor of Engineering', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Materials Science Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Mechanical Engineering,"[('Mechanical Engineering', 'Major')]","[('Bachelor of Engineering', 'Degree')]","[{'from_type': 'Major', 'from_id': 'Mechanical Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
