Degree,Major,degree_entities,major_entities,relationships
Bachelor of Dental Surgery,Dentistry,"[('Bachelor of Dental Surgery', 'Degree')]","[('Dentistry', 'Major')]","[{'from_type': 'Major', 'from_id': 'Dentistry', 'to_type': 'Degree', 'to_id': 'Bachelor of Dental Surgery', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Biomedical Engineering,"[('Bachelor of Engineering', 'Degree')]","[('Biomedical Engineering', 'Major')]","[{'from_type': 'Major', 'from_id': 'Biomedical Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Chemical Engineering,"[('Bachelor of Engineering', 'Degree')]","[('Chemical Engineering', 'Major')]","[{'from_type': 'Major', 'from_id': 'Chemical Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Civil Engineering,"[('Bachelor of Engineering', 'Degree')]","[('Civil Engineering', 'Major')]","[{'from_type': 'Major', 'from_id': 'Civil Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Electrical Engineering,"[('Bachelor of Engineering', 'Degree')]","[('Electrical Engineering', 'Major')]","[{'from_type': 'Major', 'from_id': 'Electrical Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Engineering Science,"[('Bachelor of Engineering', 'Degree')]","[('Engineering Science', 'Major')]","[{'from_type': 'Major', 'from_id': 'Engineering Science', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Environmental Engineering,"[('Bachelor of Engineering', 'Degree')]","[('Environmental Engineering', 'Major')]","[{'from_type': 'Major', 'from_id': 'Environmental Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Industrial and Systems Engineering,"[('Bachelor of Engineering', 'Degree')]","[('Industrial and Systems Engineering', 'Major')]","[{'from_type': 'Major', 'from_id': 'Industrial and Systems Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Infrastructure and Project Management,"[('Bachelor of Engineering', 'Degree')]","[('Infrastructure and Project Management', 'Major')]","[{'from_type': 'Major', 'from_id': 'Infrastructure and Project Management', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Materials Science Engineering,"[('Bachelor of Engineering', 'Degree')]","[('Materials Science Engineering', 'Major')]","[{'from_type': 'Major', 'from_id': 'Materials Science Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Mechanical Engineering,"[('Bachelor of Engineering', 'Degree')]","[('Mechanical Engineering', 'Major')]","[{'from_type': 'Major', 'from_id': 'Mechanical Engineering', 'to_type': 'Degree', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Landscare Architecture,Landscape Architecture,"[('Bachelor of Landscare Architecture', 'Degree')]","[('Landscape Architecture', 'Major')]","[{'from_type': 'Major', 'from_id': 'Landscape Architecture', 'to_type': 'Degree', 'to_id': 'Bachelor of Landscare Architecture', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Architecture,"[('Bachelor of Arts', 'Degree')]","[('Architecture', 'Major')]","[{'from_type': 'Major', 'from_id': 'Architecture', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Industrial Design,"[('Bachelor of Arts', 'Degree')]","[('Industrial Design', 'Major')]","[{'from_type': 'Major', 'from_id': 'Industrial Design', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
