Title,Tech Skills
Marketing Managers,['Accounting software']
Marketing Managers,['Application server software']
Marketing Managers,['Sales and marketing software']
Marketing Managers,['Data mining software']
Marketing Managers,['Video conferencing software']
Marketing Managers,['Business intelligence and data analysis software']
Marketing Managers,['Communications server software']
Marketing Managers,['Electronic mail software']
Marketing Managers,['Enterprise system management software']
Marketing Managers,['Analytical or scientific software']
Marketing Managers,['Object or component oriented development software']
Marketing Managers,['Information retrieval or search software']
Marketing Managers,['Network conferencing software']
Marketing Managers,['Transaction security and virus protection software']
Marketing Managers,['Enterprise resource planning ERP software']
Marketing Managers,['Spreadsheet software']
Marketing Managers,['Office suite software']
Marketing Managers,['Process mapping and design software']
Marketing Managers,['Multi-media educational software']
Marketing Managers,['Expert system software']
Marketing Managers,['Computer based training software']
Marketing Managers,['Cloud-based management software']
Marketing Managers,['Internet browser software']
Sales Managers,['Desktop computers']
Sales Managers,['Notebook computers']
Sales Managers,['Personal computers']
Sales Managers,['Scanners']
Sales Managers,['Tablet computers']
Sales Managers,['Customer relationship management CRM software']
Sales Managers,['Document management software']
Sales Managers,['Development environment software']
Sales Managers,['Graphics or photo imaging software']
Sales Managers,['Data base user interface and query software']
Sales Managers,['Presentation software']
Sales Managers,['Computer aided design CAD software']
Sales Managers,['Calendar and scheduling software']
Sales Managers,['Financial analysis software']
Sales Managers,['Cloud-based data access and sharing software']
Sales Managers,['Desktop communications software']
Sales Managers,['Web page creation and editing software']
Sales Managers,['Geographic information system']
Sales Managers,['Sales and marketing software']
Sales Managers,['Data mining software']
Sales Managers,['Word processing software']
Sales Managers,['Video conferencing software']
Sales Managers,['Human resources software']
Sales Managers,['Web platform development software']
Sales Managers,['Business intelligence and data analysis software']
Sales Managers,['Electronic mail software']
Sales Managers,['Enterprise system management software']
Sales Managers,['Analytical or scientific software']
Sales Managers,['Inventory management software']
Sales Managers,['Information retrieval or search software']
Sales Managers,['Transaction security and virus protection software']
Sales Managers,['Enterprise resource planning ERP software']
Sales Managers,['Spreadsheet software']
Sales Managers,['Office suite software']
Sales Managers,['Project management software']
Sales Managers,['Desktop publishing software']
Sales Managers,['Process mapping and design software']
Sales Managers,['Operating system software']
Sales Managers,['Object or component oriented development software']
Sales Managers,['Accounting software']
Sales Managers,['Data base reporting software']
Sales Managers,['Cloud-based management software']
Sales Managers,['Data base management system software']
Sales Managers,['Internet browser software']
Sales Managers,['Video creation and editing software']
Public Relations Managers,['Scanners']
Public Relations Managers,['Desktop computers']
Public Relations Managers,['Notebook computers']
Public Relations Managers,['Special purpose telephones']
Public Relations Managers,['Personal computers']
Public Relations Managers,['Photocopiers']
Public Relations Managers,['Document management software']
Public Relations Managers,['Video creation and editing software']
Public Relations Managers,['Graphics or photo imaging software']
Public Relations Managers,['Desktop publishing software']
Public Relations Managers,['Web page creation and editing software']
Public Relations Managers,['Data base user interface and query software']
Public Relations Managers,['Customer relationship management CRM software']
Public Relations Managers,['Office suite software']
Public Relations Managers,['Web platform development software']
Public Relations Managers,['Accounting software']
Public Relations Managers,['Sales and marketing software']
Public Relations Managers,['Data mining software']
Public Relations Managers,['Word processing software']
Public Relations Managers,['Cloud-based data access and sharing software']
Public Relations Managers,['Electronic mail software']
Public Relations Managers,['Human resources software']
Public Relations Managers,['Presentation software']
Public Relations Managers,['Enterprise resource planning ERP software']
Public Relations Managers,['Spreadsheet software']
Public Relations Managers,['Project management software']
Public Relations Managers,['Business intelligence and data analysis software']
Public Relations Managers,['Data base management system software']
Public Relations Managers,['Internet browser software']
Public Relations Managers,['Video conferencing software']
Fundraising Managers,['Scanners']
Fundraising Managers,['Desktop computers']
Fundraising Managers,['Notebook computers']
Fundraising Managers,['Special purpose telephones']
Fundraising Managers,['Personal computers']
Fundraising Managers,['Photocopiers']
Fundraising Managers,['Document management software']
Fundraising Managers,['Video creation and editing software']
Fundraising Managers,['Graphics or photo imaging software']
Fundraising Managers,['Desktop publishing software']
Fundraising Managers,['Web page creation and editing software']
Fundraising Managers,['Data base user interface and query software']
Fundraising Managers,['Customer relationship management CRM software']
Fundraising Managers,['Office suite software']
Fundraising Managers,['Web platform development software']
Fundraising Managers,['Accounting software']
Fundraising Managers,['Sales and marketing software']
Fundraising Managers,['Data mining software']
Fundraising Managers,['Word processing software']
Fundraising Managers,['Cloud-based data access and sharing software']
Fundraising Managers,['Electronic mail software']
Fundraising Managers,['Human resources software']
Fundraising Managers,['Presentation software']
Fundraising Managers,['Enterprise resource planning ERP software']
Fundraising Managers,['Spreadsheet software']
Fundraising Managers,['Project management software']
Fundraising Managers,['Business intelligence and data analysis software']
Fundraising Managers,['Data base management system software']
Fundraising Managers,['Internet browser software']
Administrative Services Managers,['Desktop calculator']
Administrative Services Managers,['Desktop computers']
Administrative Services Managers,['Notebook computers']
Administrative Services Managers,['Laser fax machine']
Administrative Services Managers,['Mobile phones']
Administrative Services Managers,['Special purpose telephones']
Administrative Services Managers,['Personal computers']
Administrative Services Managers,['Personal digital assistant PDAs or organizers']
Administrative Services Managers,['Photocopiers']
Administrative Services Managers,['Scanners']
Administrative Services Managers,['Tablet computers']
Administrative Services Managers,['Document management software']
Administrative Services Managers,['Desktop publishing software']
Administrative Services Managers,['Human resources software']
Administrative Services Managers,['Content workflow software']
Administrative Services Managers,['Computer aided design CAD software']
Administrative Services Managers,['Customer relationship management CRM software']
Administrative Services Managers,['Data base user interface and query software']
Administrative Services Managers,['Financial analysis software']
Administrative Services Managers,['Electronic mail software']
Administrative Services Managers,['Accounting software']
Administrative Services Managers,['Word processing software']
Administrative Services Managers,['Cloud-based data access and sharing software']
Administrative Services Managers,['Instant messaging software']
Administrative Services Managers,['Enterprise system management software']
Administrative Services Managers,['Analytical or scientific software']
Administrative Services Managers,['Information retrieval or search software']
Administrative Services Managers,['Web page creation and editing software']
Administrative Services Managers,['Medical software']
Administrative Services Managers,['Enterprise resource planning ERP software']
Administrative Services Managers,['Spreadsheet software']
Administrative Services Managers,['Internet browser software']
Administrative Services Managers,['Office suite software']
Administrative Services Managers,['Presentation software']
Administrative Services Managers,['Project management software']
Administrative Services Managers,['Process mapping and design software']
Administrative Services Managers,['Operating system software']
Administrative Services Managers,['Object or component oriented development software']
Administrative Services Managers,['Data base reporting software']
Administrative Services Managers,['Industrial control software']
Administrative Services Managers,['Data base management system software']
Facilities Managers,['Desktop calculator']
Facilities Managers,['Desktop computers']
Facilities Managers,['Notebook computers']
Facilities Managers,['Laser fax machine']
Facilities Managers,['Mobile phones']
Facilities Managers,['Special purpose telephones']
Facilities Managers,['Personal computers']
Facilities Managers,['Photocopiers']
Facilities Managers,['Scanners']
Facilities Managers,['Tablet computers']
Facilities Managers,['Document management software']
Facilities Managers,['Desktop publishing software']
Facilities Managers,['Human resources software']
Facilities Managers,['Computer aided design CAD software']
Facilities Managers,['Customer relationship management CRM software']
Facilities Managers,['Financial analysis software']
Facilities Managers,['Electronic mail software']
Facilities Managers,['Data base user interface and query software']
Facilities Managers,['Accounting software']
Facilities Managers,['Word processing software']
Facilities Managers,['Cloud-based data access and sharing software']
Facilities Managers,['Office suite software']
Facilities Managers,['Instant messaging software']
Facilities Managers,['Enterprise resource planning ERP software']
Facilities Managers,['Enterprise system management software']
Facilities Managers,['Spreadsheet software']
Facilities Managers,['Internet browser software']
Facilities Managers,['Presentation software']
Facilities Managers,['Project management software']
Facilities Managers,['Process mapping and design software']
Facilities Managers,['Operating system software']
Facilities Managers,['Data base reporting software']
Facilities Managers,['Industrial control software']
Facilities Managers,['Data base management system software']
Security Managers,['Motion detectors']
Security Managers,['Laser printers']
Security Managers,['Chemical agent detector']
Security Managers,['Alarm systems']
Security Managers,['Security or access control systems']
Security Managers,['Notebook computers']
Security Managers,['Special purpose telephones']
Security Managers,['Personal computers']
Security Managers,['Teleconference equipment']
Security Managers,['Video monitors']
Security Managers,['Videoconferencing systems']
Security Managers,['Facilities management software']
Security Managers,['Data base user interface and query software']
Security Managers,['Office suite software']
Security Managers,['Communications server software']
Security Managers,['Web page creation and editing software']
Security Managers,['Project management software']
Security Managers,['Network security and virtual private network VPN equipment software']
Security Managers,['Graphics or photo imaging software']
Security Managers,['Human resources software']
Security Managers,['Inventory management software']
Security Managers,['Map creation software']
Security Managers,['Transaction security and virus protection software']
Security Managers,['Development environment software']
Security Managers,['Spreadsheet software']
Security Managers,['Electronic mail software']
Security Managers,['Presentation software']
Security Managers,['Process mapping and design software']
Security Managers,['Word processing software']
Security Managers,['Operating system software']
Security Managers,['Enterprise resource planning ERP software']
Security Managers,['Time accounting software']
Security Managers,['Cloud-based data access and sharing software']
Security Managers,['Instant messaging software']
Security Managers,['Internet browser software']
Security Managers,['Calendar and scheduling software']
Computer and Information Systems Managers,['Access servers']
Computer and Information Systems Managers,['Computer servers']
Computer and Information Systems Managers,['Computer tool kits']
Computer and Information Systems Managers,['Peripheral controller cards']
Computer and Information Systems Managers,['Inkjet printers']
Computer and Information Systems Managers,['Laser fax machine']
Computer and Information Systems Managers,['Laser printers']
Computer and Information Systems Managers,['Mainframe computers']
Computer and Information Systems Managers,['Network analyzers']
Computer and Information Systems Managers,['Network interface cards']
Computer and Information Systems Managers,['Network routers']
Computer and Information Systems Managers,['Network switches']
Computer and Information Systems Managers,['Personal computers']
Computer and Information Systems Managers,['Photocopiers']
Computer and Information Systems Managers,['Print servers']
Computer and Information Systems Managers,['Punches or nail sets or drifts']
Computer and Information Systems Managers,['Integrated services digital network ISDN access devices']
Computer and Information Systems Managers,['Screwdrivers']
Computer and Information Systems Managers,['Teleconference equipment']
Computer and Information Systems Managers,['High end computer servers']
Computer and Information Systems Managers,['Customer relationship management CRM software']
Computer and Information Systems Managers,['Desktop publishing software']
Computer and Information Systems Managers,['Web platform development software']
Computer and Information Systems Managers,['Object or component oriented development software']
Computer and Information Systems Managers,['Data base management system software']
Computer and Information Systems Managers,['Data base user interface and query software']
Computer and Information Systems Managers,['Portal server software']
Computer and Information Systems Managers,['Development environment software']
Computer and Information Systems Managers,['Video creation and editing software']
Computer and Information Systems Managers,['Presentation software']
Computer and Information Systems Managers,['Spreadsheet software']
Computer and Information Systems Managers,['Word processing software']
