Degree,Major,degree_entities,major_entities,relationships
Bachelor of Computing,Information Systems,"[('Bachelor of Computing', 'DEGREE')]","[('Information Systems', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Information Systems', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Computing', 'type': 'IS_UNDER'}]"
Bachelor of Dental Surgery,Dentistry,"[('Bachelor of Dental Surgery', 'DEGREE')]","[('Dentistry', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Dentistry', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Dental Surgery', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Biomedical Engineering,"[('Bachelor of Engineering', 'DEGREE')]","[('Biomedical Engineering', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Biomedical Engineering', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Chemical Engineering,"[('Bachelor of Engineering', 'DEGREE')]","[('Chemical Engineering', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Chemical Engineering', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Civil Engineering,"[('Bachelor of Engineering', 'DEGREE')]","[('Civil Engineering', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Civil Engineering', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Electrical Engineering,"[('Bachelor of Engineering', 'DEGREE')]","[('Electrical Engineering', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Electrical Engineering', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Engineering Science,"[('Bachelor of Engineering', 'DEGREE')]","[('Engineering Science', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Engineering Science', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Environmental Engineering,"[('Bachelor of Engineering', 'DEGREE')]","[('Environmental Engineering', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Environmental Engineering', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Industrial and Systems Engineering,"[('Bachelor of Engineering', 'DEGREE')]","[('Industrial and Systems Engineering', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Industrial and Systems Engineering', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Infrastructure and Project Management,"[('Bachelor of Engineering', 'DEGREE')]","[('Infrastructure and Project Management', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Infrastructure and Project Management', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Materials Science Engineering,"[('Bachelor of Engineering', 'DEGREE')]","[('Materials Science Engineering', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Materials Science Engineering', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Engineering,Mechanical Engineering,"[('Bachelor of Engineering', 'DEGREE')]","[('Mechanical Engineering', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Mechanical Engineering', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Engineering', 'type': 'IS_UNDER'}]"
Bachelor of Landscare Architecture,Landscape Architecture,"[('Bachelor of Landscare Architecture', 'DEGREE')]","[('Landscape Architecture', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Landscape Architecture', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Landscare Architecture', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Architecture,"[('Bachelor of Arts', 'DEGREE')]","[('Architecture', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Architecture', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Industrial Design,"[('Bachelor of Arts', 'DEGREE')]","[('Industrial Design', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Industrial Design', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Chinese Language,"[('Bachelor of Arts', 'DEGREE')]","[('Chinese Language', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Chinese Language', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Chinese Studies,"[('Bachelor of Arts', 'DEGREE')]","[('Chinese Studies', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Chinese Studies', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,English Language and Linguistics,"[('Bachelor of Arts', 'DEGREE')]","[('English Language and Linguistics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'English Language and Linguistics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,English Literature,"[('Bachelor of Arts', 'DEGREE')]","[('English Literature', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'English Literature', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Global Studies,"[('Bachelor of Arts', 'DEGREE')]","[('Global Studies', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Global Studies', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
