department_id,department,faculty,Department_entities,Faculty_entities
NUSDP0095,Logistics Inst - Asia Pac,NUS,"[('Logistics Inst - Asia Pac', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0096,Mechanobiology Institute (MBI),Mechanobiology Institute (MBI),"[('Mechanobiology Institute (MBI)', 'DEPARTMENT')]","[('Mechanobiology Institute (MBI)', 'FACULTY')]"
NUSDP0097,Pathology,Yong Loo Lin Sch of Medicine,"[('Pathology', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0098,Medicine,Yong Loo Lin Sch of Medicine,"[('Medicine', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0099,Paediatrics,Yong Loo Lin Sch of Medicine,"[('Paediatrics', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0100,Office of the President,NUS,"[('Office of the President', 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0101,Materials Science,Science,"[('Materials Science', 'DEPARTMENT')]","[('Science', 'FACULTY')]"
NUSDP0102,Nanoengineering Programme,College of Design and Engineering,"[('Nanoengineering Programme', 'DEPARTMENT')]","[('College of Design and Engineering', 'FACULTY')]"
NUSDP0103,NUS College Dean's Office,NUS,"[(""NUS College Dean's Office"", 'DEPARTMENT')]","[('NUS', 'FACULTY')]"
NUSDP0104,Alice Lee Center for Nursing Studies,Yong Loo Lin Sch of Medicine,"[('Alice Lee Center for Nursing Studies', 'DEPARTMENT')]","[('Yong Loo Lin Sch of Medicine', 'FACULTY')]"
NUSDP0105,LKYSPP Dean's Office,LKY School of Public Policy,"[(""LKYSPP Dean's Office"", 'DEPARTMENT')]","[('LKY School of Public Policy', 'FACULTY')]"
NUSDP0106,Center for Quantum Technologies,NUS Graduate School,"[('Center for Quantum Technologies', 'DEPARTMENT')]","[('NUS Graduate School', 'FACULTY')]"
NUSDP0107,Ridge View Residential College,Residential College,"[('Ridge View Residential College', 'DEPARTMENT')]","[('Residential College', 'FACULTY')]"
NUSDP0108,University Scholars Programme,Computing,"[('University Scholars Programme', 'DEPARTMENT')]","[('Computing', 'FACULTY')]"
NUSDP0109,College of Alice and Peter Tan,Residential College,"[('College of Alice and Peter Tan', 'DEPARTMENT')]","[('Residential College', 'FACULTY')]"
NUSDP0110,Residential Colleges,Residential College,"[('Residential Colleges', 'DEPARTMENT')]","[('Residential College', 'FACULTY')]"
NUSDP0111,Yale-NUS College,Yale-NUS College,"[('Yale-NUS College', 'DEPARTMENT')]","[('Yale-NUS College', 'FACULTY')]"
