Module Code,Faculty
AN2204,Arts and Social Science
AN2205,Arts and Social Science
AN2206,Arts and Social Science
AN2207,Arts and Social Science
AN2741,Arts and Social Science
AN2742,Arts and Social Science
AN2743,Arts and Social Science
AN2744,Arts and Social Science
AN2745,Arts and Social Science
AN2746,Arts and Social Science
AN2747,Arts and Social Science
AN2748,Arts and Social Science
AN2749,Arts and Social Science
AN2841,Arts and Social Science
AN2842,Arts and Social Science
AN3101,Arts and Social Science
AN3203,Arts and Social Science
AN3206,Arts and Social Science
AN3208,Arts and Social Science
AN3209,Arts and Social Science
AN3210,Arts and Social Science
AN3550,Arts and Social Science
AN3841,Arts and Social Science
AN3842,Arts and Social Science
AN4204,Arts and Social Science
AN4205,Arts and Social Science
AN4206,Arts and Social Science
AN4207,Arts and Social Science
AN4208,Arts and Social Science
AN4209,Arts and Social Science
AN4401,Arts and Social Science
AN4660,Arts and Social Science
AN4841,Arts and Social Science
AN4842,Arts and Social Science
AR1101,College of Design and Engineering
AR1102,College of Design and Engineering
AR1121,College of Design and Engineering
AR1324,College of Design and Engineering
AR1325,College of Design and Engineering
AR1326,College of Design and Engineering
AR1327,College of Design and Engineering
AR1328,College of Design and Engineering
AR1329,College of Design and Engineering
AR1721,College of Design and Engineering
AR1722,College of Design and Engineering
AR1723,College of Design and Engineering
AR1724,College of Design and Engineering
AR2101,College of Design and Engineering
AR2102,College of Design and Engineering
AR2121,College of Design and Engineering
AR2151,College of Design and Engineering
AR2221,College of Design and Engineering
AR2222,College of Design and Engineering
AR2223,College of Design and Engineering
AR2224,College of Design and Engineering
AR2225,College of Design and Engineering
AR2226,College of Design and Engineering
AR2227,College of Design and Engineering
AR2228,College of Design and Engineering
AR2324,College of Design and Engineering
AR2325,College of Design and Engineering
AR2326,College of Design and Engineering
AR2327,College of Design and Engineering
AR2328,College of Design and Engineering
AR2511,College of Design and Engineering
AR2521,College of Design and Engineering
AR2522,College of Design and Engineering
AR2523,College of Design and Engineering
AR2524,College of Design and Engineering
AR2721,College of Design and Engineering
AR2722,College of Design and Engineering
AR2723,College of Design and Engineering
AR2724,College of Design and Engineering
AR3101,College of Design and Engineering
AR3101A,College of Design and Engineering
AR3102,College of Design and Engineering
AR3102A,College of Design and Engineering
AR3151,College of Design and Engineering
AR3152,College of Design and Engineering
AR3221,College of Design and Engineering
AR3223,College of Design and Engineering
AR3321,College of Design and Engineering
AR3322,College of Design and Engineering
AR3323,College of Design and Engineering
AR3324,College of Design and Engineering
AR3411,College of Design and Engineering
AR3412,College of Design and Engineering
AR3421,College of Design and Engineering
AR3611,College of Design and Engineering
AR3612,College of Design and Engineering
AR3613,College of Design and Engineering
AR3614,College of Design and Engineering
AR3721,College of Design and Engineering
AR3722,College of Design and Engineering
AR4001,College of Design and Engineering
AR4002,College of Design and Engineering
AR4101,College of Design and Engineering
AR4101A,College of Design and Engineering
AR4102,College of Design and Engineering
AR4103,College of Design and Engineering
AR4103A,College of Design and Engineering
AR4104,College of Design and Engineering
AR4111,College of Design and Engineering
AR4142,College of Design and Engineering
AR4222,College of Design and Engineering
AR4223,College of Design and Engineering
AR4322,College of Design and Engineering
AR4323,College of Design and Engineering
AR4421,College of Design and Engineering
AR4611,College of Design and Engineering
AR4612,College of Design and Engineering
AR4951,College of Design and Engineering
AR4951G,College of Design and Engineering
AR4952,College of Design and Engineering
AR4953,College of Design and Engineering
AR4954,College of Design and Engineering
AR4955,College of Design and Engineering
AR4955G,College of Design and Engineering
AR5001,College of Design and Engineering
AR5003X,College of Design and Engineering
AR5004X,College of Design and Engineering
AR5011,College of Design and Engineering
AR5058,College of Design and Engineering
AR5100,College of Design and Engineering
AR5121,College of Design and Engineering
AR5141,College of Design and Engineering
AR5142,College of Design and Engineering
AR5221,College of Design and Engineering
AR5321,College of Design and Engineering
AR5322,College of Design and Engineering
AR5323,College of Design and Engineering
AR5421,College of Design and Engineering
AR5422,College of Design and Engineering
AR5423,College of Design and Engineering
AR5601,College of Design and Engineering
AR5666,College of Design and Engineering
AR5770,College of Design and Engineering
AR5801,College of Design and Engineering
AR5802,College of Design and Engineering
AR5803,College of Design and Engineering
AR5804,College of Design and Engineering
AR5805,College of Design and Engineering
AR5806,College of Design and Engineering
AR5807,College of Design and Engineering
AR5808,College of Design and Engineering
AR5951,College of Design and Engineering
AR5951A,College of Design and Engineering
AR5951B,College of Design and Engineering
AR5951C,College of Design and Engineering
AR5951D,College of Design and Engineering
AR5951E,College of Design and Engineering
AR5951F,College of Design and Engineering
AR5951G,College of Design and Engineering
AR5951H,College of Design and Engineering
AR5951L,College of Design and Engineering
AR5952,College of Design and Engineering
AR5952A,College of Design and Engineering
AR5952B,College of Design and Engineering
AR5952C,College of Design and Engineering
AR5952D,College of Design and Engineering
AR5952E,College of Design and Engineering
AR5952F,College of Design and Engineering
AR5952G,College of Design and Engineering
AR5952H,College of Design and Engineering
AR5952I,College of Design and Engineering
AR5952J,College of Design and Engineering
AR5952K,College of Design and Engineering
AR5952L,College of Design and Engineering
AR5952M,College of Design and Engineering
AR5953,College of Design and Engineering
AR5953A,College of Design and Engineering
AR5953B,College of Design and Engineering
AR5953C,College of Design and Engineering
AR5953D,College of Design and Engineering
AR5953E,College of Design and Engineering
AR5953F,College of Design and Engineering
AR5953G,College of Design and Engineering
AR5953H,College of Design and Engineering
AR5953I,College of Design and Engineering
AR5954,College of Design and Engineering
AR5954A,College of Design and Engineering
AR5954B,College of Design and Engineering
AR5954C,College of Design and Engineering
AR5954D,College of Design and Engineering
AR5954E,College of Design and Engineering
AR5954F,College of Design and Engineering
AR5954G,College of Design and Engineering
AR5954H,College of Design and Engineering
AR5954I,College of Design and Engineering
AR5955,College of Design and Engineering
AR5955A,College of Design and Engineering
AR5955B,College of Design and Engineering
AR5955C,College of Design and Engineering
AR5955D,College of Design and Engineering
AR5955E,College of Design and Engineering
AR5955F,College of Design and Engineering
AR5955G,College of Design and Engineering
AR5955H,College of Design and Engineering
AR5955I,College of Design and Engineering
AR5955J,College of Design and Engineering
AR5955K,College of Design and Engineering
AR5955M,College of Design and Engineering
AR5955N,College of Design and Engineering
AR5955O,College of Design and Engineering
AR5955P,College of Design and Engineering
AR5956,College of Design and Engineering
AR5956A,College of Design and Engineering
AR5956B,College of Design and Engineering
AR5956C,College of Design and Engineering
AR5956D,College of Design and Engineering
AR5956E,College of Design and Engineering
AR5956F,College of Design and Engineering
AR5957,College of Design and Engineering
AR5957A,College of Design and Engineering
AR5957B,College of Design and Engineering
AR5957C,College of Design and Engineering
AR5957D,College of Design and Engineering
AR5957E,College of Design and Engineering
AR5957F,College of Design and Engineering
AR5957G,College of Design and Engineering
AR5957H,College of Design and Engineering
AR5957I,College of Design and Engineering
AR5957J,College of Design and Engineering
AR5957K,College of Design and Engineering
AR5957L,College of Design and Engineering
AR5957M,College of Design and Engineering
AR5957N,College of Design and Engineering
AR5957O,College of Design and Engineering
AR5958,College of Design and Engineering
AR5958A,College of Design and Engineering
AR5958B,College of Design and Engineering
AR5958C,College of Design and Engineering
